,site_id,geometry,name
30,14106,"POLYGON Z ((13.0660940839976 52.37929871375904 144.4182449914515, 13.064898371694909 52.380021117011246 133.53647471684963, 13.061436993874429 52.38301383806777 127.33767508622259, 13.065294952066658 52.38026500139369 147.90902879554778, 13.0660940839976 52.37929871375904 144.4182449914515))",Potsdam
31,14201,"POLYGON Z ((12.878283052152932 49.143417598619365 672.5463201971725, 12.875322762287592 49.14506719616981 653.3191315950826, 12.877455358052824 49.14501034135027 669.1217284286395, 12.878102511940872 49.14494162411015 661.1258220905438, 12.878630698102114 49.144788670642576 663.4217370450497, 12.878943602141677 49.14423041859539 665.9369462998584, 12.878935510132907 49.14420261751649 665.933579498902, 12.878283052152932 49.143417598619365 672.5463201971725))",Wettzell
32,21601,"POLYGON Z ((115.89206024027818 39.60693268645963 81.78638282977045, 115.89248880432758 39.608600255612856 87.49332420434803, 115.89269464757206 39.6077299207295 71.9183714138344, 115.89206024027818 39.60693268645963 81.78638282977045))",BEIJING
33,21602,"POLYGON Z ((114.4911444125675 30.515553109532263 70.47226038854569, 114.48967441655138 30.515655835661217 86.53677675873041, 114.35726564572856 30.531651709648603 25.80925228819251, 114.34625773124732 30.541795490548672 38.90472921729088, 114.49114443358451 30.51555318127709 70.84141776431352, 114.49114450097312 30.515553116944652 70.84229256212711, 114.4911444125675 30.515553109532263 70.47226038854569))",WUHAN-JIUFENG
34,21605,"POLYGON Z ((121.18661611349974 31.09609350230272 99.95119419321418, 121.19174604555175 31.097538028489442 27.825481648556888, 121.20044768362308 31.099641526230144 22.03938321955502, 121.19966490242986 31.099160710721023 29.398871443234384, 121.18661611349974 31.09609350230272 99.95119419321418))",SHANGHAI
35,21609,"POLYGON Z ((102.79594292905126 25.02733275056665 1974.29958099965, 102.79743548369441 25.02996484659478 1993.0546711189672, 102.79768424718138 25.029789471340347 1987.02945713792, 102.79594292905126 25.02733275056665 1974.29958099965))",KUNMING
36,21612,"POLYGON Z ((87.17731068759713 43.47110820541246 2028.7093486078084, 87.60066995255634 43.80794981755373 858.8562316540629, 87.70539220999841 43.81361098387227 845.5919383931905, 87.17814175072013 43.471510454225026 2033.2156902179122, 87.17731068759713 43.47110820541246 2028.7093486078084))",Urumqi
37,21613,"POLYGON Z ((91.03767423457236 29.634869525435423 3599.809928772971, 91.10399503821786 29.657342072670513 3624.6754913870245, 91.104030102406 29.65733339029063 3624.6066054645926, 91.03767423457236 29.634869525435423 3599.809928772971))",Lhasa
38,21701,"POLYGON Z ((140.66273510866898 35.95411026147054 80.08515484072268, 140.65767385234724 35.9553722292844 57.88110057357699, 140.6574714352812 35.95558928658559 62.42712606675923, 140.6575921061977 35.956190580771114 65.70811329130083, 140.66008883783007 35.95590928988941 78.42244862951338, 140.66273510866898 35.95411026147054 80.08515484072268))",KASHIMA
39,21702,"POLYGON Z ((141.20399852211173 39.110413271076865 173.08927492331713, 141.13234737798953 39.133372134391806 110.8621967881918, 141.1328256692656 39.13516957992106 116.97595151234418, 141.20399852211173 39.110413271076865 173.08927492331713))",MIZUSAWA
40,21704,"POLYGON Z ((139.48912360727925 35.71008434240013 122.44357318710536, 139.4879527598968 35.71018794628525 114.38858937006444, 139.48808273049386 35.71055692021496 125.48048711940646, 139.48912360727925 35.71008434240013 122.44357318710536))",KOGANEI
41,21730,"POLYGON Z ((140.08873604545894 36.10314509321574 84.72993964049965, 140.08711556878583 36.10557576576694 69.95072601176798, 140.08717705666498 36.105634850708405 69.63023018836975, 140.08749602263305 36.105679154255455 67.28412113897502, 140.08873604545894 36.10314509321574 84.72993964049965))",Tsukuba
42,21732,"POLYGON Z ((142.1949959608418 27.067223526839236 107.51750345341861, 142.18457461800472 27.095583431046474 208.1586634637788, 142.19460718747175 27.093942479553608 56.17671261448413, 142.19502624376605 27.067532408706835 104.22485117707402, 142.1949959608418 27.067223526839236 107.51750345341861))",CHICHIJIMA / OG
43,22006,"POLYGON Z ((121.04126547957267 14.535402207443239 84.8858064217493, 121.040765124923 14.535441724914739 86.65292950998992, 121.04115374368087 14.535458936817552 87.29733218066394, 121.04118124256594 14.53545285136586 87.05260234232992, 121.04126547957267 14.535402207443239 84.8858064217493))",Manila - Taguig
44,23101,"POLYGON Z ((106.84891288439512 -6.491055232333047 158.15055988542736, 106.84884129175713 -6.490683396767706 161.1172194564715, 106.84917426431193 -6.490365143912579 169.14565427508205, 106.84891288439512 -6.491055232333047 158.15055988542736))",Cibinong
45,23902,"POLYGON Z ((127.36608409916661 36.3744197590431 77.46376941446215, 127.37448221635135 36.39942758813495 116.84344948641956, 127.37448261196182 36.399427688319186 116.84201994445175, 127.37470994024342 36.39903420087511 115.08367673493922, 127.36608409916661 36.3744197590431 77.46376941446215))",Daejeon
46,23907,"POLYGON Z ((127.30291263932669 36.52099126735888 176.48448493890464, 127.30319404854842 36.522212262767894 181.21312935370952, 127.3033625098168 36.52272045231866 194.5917143886909, 127.30291263932669 36.52099126735888 176.48448493890464))",Sejong Observat
47,30302,"POLYGON Z ((27.68518040992648 -25.890401659881167 1407.1991389272735, 27.684269308575516 -25.889734974704623 1409.4128398643807, 27.707462551031444 -25.88685177957577 1559.4246999016032, 27.707462601244636 -25.886851786040236 1559.6032531792298, 27.70754179912412 -25.887106341797132 1562.896628553979, 27.68518040992648 -25.890401659881167 1407.1991389272735))",Hartebeesthoek
48,30314,"POLYGON Z ((20.810912801223584 -32.38143232458381 1797.6129962801933, 20.802492163187328 -32.3791801786785 1726.1294435858727, 20.810464382384723 -32.38020885954749 1799.763476997614, 20.810912801223584 -32.38143232458381 1797.6129962801933))",Sutherland
49,30602,"POLYGON Z ((-14.41207283807898 -7.951212569295538 105.1099592326209, -14.332640254601802 -7.916194048012498 38.545265573076904, -14.332329147933477 -7.916257805390135 38.45874359458685, -14.41207283807898 -7.951212569295538 105.1099592326209))",Ascension III
50,30606,"POLYGON Z ((-5.667344800485703 -15.9425332973282 453.1808764664456, -5.667419188976304 -15.942220020785479 455.8671650066972, -5.667363739012859 -15.942353252067182 453.98926849197596, -5.667344800485703 -15.9425332973282 453.1808764664456))",Saint-Helena
51,31906,"POLYGON Z ((-25.662830724276223 37.747738971618354 110.13053065165877, -25.662830603823757 37.74773900845565 110.13243694137782, -25.662762169923177 37.747750822580386 110.61095638293773, -25.662830724276223 37.747738971618354 110.13053065165877))",Ponta Delgada (
52,32809,"POLYGON Z ((9.672126884815192 0.3539081864170313 31.50922178849578, 9.672121426440842 0.3540382242898092 34.28531973157078, 9.672121439065362 0.3540382246788379 34.52111225295812, 9.672141988136769 0.3540032874157545 33.77843028586358, 9.672126884815192 0.3539081864170313 31.50922178849578))",LIBREVILLE
53,39601,"POLYGON Z ((-22.934932485506366 16.732062385359047 94.08533836808056, -22.934985944785726 16.73213179664616 91.89712891727686, -22.93496310005905 16.732172159946717 92.58382979314774, -22.93496309135575 16.73217216104001 92.58481670636684, -22.934932485506366 16.732062385359047 94.08533836808056))",Palmeira - Cape
